country_name,country_code,series_code,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
Tunisia,TUN,CAPHE,NULL,NULL,NULL,NULL,NULL
Uganda,UGA,CAPHE,0.129999995231628,0.129999995231628,0.119999997317791,0.109999999403954,0.159999996423721
Zimbabwe,ZWE,CAPHE,0.00999999977648258,NULL,0.0700000002980232,0.270000010728836,NULL
Zambia,ZMB,CAPHE,0,0,NULL,NULL,NULL
Algeria,DZA,CHE_CAP,291.549987792969,260.760009765625,258.059997558594,256.010009765625,248.210006713867
Angola,AGO,CHE_CAP,108.580001831055,95.120002746582,114.330001831055,87.3099975585938,71.3300018310547
Benin,BEN,CHE_CAP,31.3099994659424,29.7900009155273,29.7700004577637,31.0699996948242,29.1299991607666
Botswana,BWA,CHE_CAP,389.380004882813,402.799987792969,484.220001220703,494.200012207031,481.529998779297
Burkina Faso,BFA,CHE_CAP,33.5299987792969,40.9799995422363,44.5099983215332,40.2700004577637,42.3400001525879
Burundi,BDI,CHE_CAP,19.6399993896484,21.7800006866455,23.1599998474121,22.4099998474121,20.5699996948242
Cameroon,CMR,CHE_CAP,49.7700004577637,50.8800010681152,49.7700004577637,53.1699981689453,54
Cabo Verde,CPV,CHE_CAP,146.679992675781,151.75,173.789993286133,190.460006713867,177.889999389648
Central African Republic,CAF,CHE_CAP,19,21.8999996185303,30.0499992370605,53.689998626709,37.2000007629395
Chad,TCD,CHE_CAP,35.1100006103516,35.3899993896484,30.6000003814697,29.7000007629395,29.8500003814697
Comoros,COM,CHE_CAP,57.1699981689453,59.2299995422363,69.7399978637695,69.4199981689453,72.3199996948242
"Congo, Dem. Rep.",COD,CHE_CAP,19.7399997711182,20.5799999237061,19.4099998474121,18.5200004577637,20.5699996948242
"Congo, Rep.",COG,CHE_CAP,60.1500015258789,56.9300003051758,54.7599983215332,49.4599990844727,48.560001373291
Cote d'Ivoire,CIV,CHE_CAP,63.5099983215332,67.4800033569336,69.7699966430664,72.1699981689453,75.0899963378906
Djibouti,DJI,CHE_CAP,82.2900009155273,76.870002746582,72.2300033569336,71.0899963378906,61.810001373291
"Egypt, Arab Rep.",EGY,CHE_CAP,183.429992675781,153.490005493164,113.980003356934,125.550003051758,149.839996337891
Equatorial Guinea,GNQ,CHE_CAP,328.950012207031,290.880004882813,286.149993896484,310.579986572266,254.889999389648
Eritrea,ERI,CHE_CAP,26.8199996948242,22.6499996185303,20.7999992370605,23.9799995422363,25.2700004577637
Ethiopia,ETH,CHE_CAP,23.9200000762939,25.0799999237061,24.9200000762939,24.2900009155273,26.7399997711182
Gabon,GAB,CHE_CAP,196.240005493164,217.059997558594,201.059997558594,218.479995727539,215.020004272461
"Gambia, The",GMB,CHE_CAP,20.9899997711182,25.4400005340576,28.1700000762939,35.810001373291,29.7299995422363
Ghana,GHA,CHE_CAP,80.5899963378906,66.8600006103516,68.0299987792969,76.8300018310547,75.2799987792969
Guinea,GIN,CHE_CAP,44.689998626709,39.5200004577637,33.5,35.7099990844727,43.0400009155273
